region_name,province,avg_price,year
Fort St. John,BC,499000.0,2024
Quesnel,BC,479900.0,2024
Quesnel,BC,399900.0,2024
Quesnel,BC,649900.0,2024
Quesnel,BC,1249000.0,2024
Quesnel,BC,649900.0,2024
Quesnel,BC,499900.0,2024
Quesnel,BC,399900.0,2024
Quesnel,BC,1279000.0,2024
Calgary,AB,550000.0,2024
Kelowna,BC,2699900.0,2024
Merritt,BC,265000.0,2024
Calgary,AB,330000.0,2024
Kelowna,BC,839000.0,2024
Quesnel,BC,399900.0,2024
Quesnel,BC,369900.0,2024
Port Alice,BC,398999.0,2024
Qualicum Beach,BC,1877000.0,2024
Vancouver,BC,1966900.0,2024
Kelowna,BC,575000.0,2024
Saskatoon,SK,139900.0,2024
Vancouver,BC,1599900.0,2024
Lake Country,BC,849000.0,2024
West Kelowna,BC,3980000.0,2024
Vernon,BC,670000.0,2024
Jasper,AB,560000.0,2024
Cranbrook,BC,959000.0,2024
Vancouver,BC,1405900.0,2024
Vancouver,BC,1750000.0,2024
Calgary,AB,849900.0,2024
Calgary,AB,649900.0,2024
Calgary,AB,824900.0,2024
Saskatoon,SK,849500.0,2024
Kelowna,BC,2500000.0,2024
Kelowna,BC,449000.0,2024
Kelowna,BC,689990.0,2024
Langdon,AB,788650.0,2024
Vancouver,BC,1362900.0,2024
Vernon,BC,545000.0,2024
West Kelowna,BC,465000.0,2024
Airdrie,AB,525000.0,2024
Prince George,BC,729999.0,2024
Vancouver,BC,1399900.0,2024
Fort St. John,BC,289900.0,2024
100 Mile House,BC,559000.0,2024
Quesnel,BC,314900.0,2024
Wells / Barkerville,BC,209900.0,2024
Quesnel,BC,324900.0,2024
Quesnel,BC,324900.0,2024
Vancouver,BC,1579900.0,2024
Red Deer,AB,199900.0,2024
Vernon,BC,209000.0,2024
West Kelowna,BC,1770000.0,2024
Kelowna,BC,458000.0,2024
Vancouver,BC,893900.0,2024
Powell River,BC,599900.0,2024
Saskatoon,SK,539900.0,2024
Prince George,BC,669900.0,2024
Blackfalds,AB,424900.0,2024
Conklin,AB,399000.0,2024
Quesnel,BC,745000.0,2024
Quesnel,BC,319900.0,2024
Vernon,BC,579000.0,2024
Kelowna,BC,1688000.0,2024
New Westminster,BC,955000.0,2024
Medicine Hat,AB,598000.0,2024
Saskatoon,SK,349900.0,2024
Richmond,BC,448800.0,2024
Merritt,BC,799999.0,2024
Parksville,BC,734900.0,2024
Penticton,BC,1649000.0,2024
Kelowna,BC,1484000.0,2024
Quesnel,BC,699900.0,2024
Vancouver,BC,1174900.0,2024
Lake Country,BC,775000.0,2024
Coquitlam,BC,746000.0,2024
Kamloops,BC,619900.0,2024
Kelowna,BC,1299000.0,2024
Lake Country,BC,2227000.0,2024
Ashcroft,BC,299900.0,2024
Barriere,BC,580000.0,2024
Kamloops,BC,149900.0,2024
Calgary,AB,489900.0,2024
Okotoks,AB,725000.0,2024
Quesnel,BC,599000.0,2024
Kelowna,BC,539000.0,2024
Fort McMurray,AB,520000.0,2024
Vancouver,BC,898000.0,2024
Martensville,SK,204900.0,2024
Kamloops,BC,598000.0,2024
Kelowna,BC,1049900.0,2024
Kelowna,BC,899000.0,2024
Logan Lake,BC,449000.0,2024
Kamloops,BC,569900.0,2024
Kamloops,BC,779500.0,2024
Kelowna,BC,925000.0,2024
Vancouver,BC,2265000.0,2024
Vancouver,BC,559900.0,2024
Innisfail,AB,569900.0,2024
Airdrie,AB,819900.0,2024
Coquitlam,BC,999900.0,2024
Kelowna,BC,529900.0,2024
Kelowna,BC,1475000.0,2024
Coquitlam,BC,799900.0,2024
Coquitlam,BC,1669900.0,2024
"Rural Taber, M.D. of",AB,499900.0,2024
Asquith,SK,389000.0,2024
West Kelowna,BC,1095000.0,2024
Prince George,BC,939000.0,2024
Quesnel,BC,99900.0,2024
Quesnel,BC,219900.0,2024
Oliver,BC,337000.0,2024
Quesnel,BC,479000.0,2024
Oliver,BC,343000.0,2024
Kelowna,BC,900000.0,2024
Chase,BC,598000.0,2024
Oliver,BC,899900.0,2024
Summerland,BC,555000.0,2024
Mission,BC,1950000.0,2024
Agassiz,BC,849000.0,2024
Burnaby,BC,998000.0,2024
Vancouver,BC,3799000.0,2024
Kelowna,BC,2345000.0,2024
Kamloops,BC,499999.0,2024
Penticton,BC,525000.0,2024
Surrey,BC,499000.0,2024
Summerland,BC,709900.0,2024
Calgary,AB,1080000.0,2024
Langdon,AB,999900.0,2024
West Kelowna,BC,919900.0,2024
Halfmoon Bay,BC,1279000.0,2024
Nanoose Bay,BC,1695000.0,2024
Cochrane,AB,324900.0,2024
Calgary,AB,1129990.0,2024
Garden Bay,BC,1599000.0,2024
Vancouver,BC,550000.0,2024
West Kelowna,BC,939900.0,2024
West Kelowna,BC,949900.0,2024
Calgary,AB,724900.0,2024
Gibsons,BC,1099000.0,2024
Port Alberni,BC,649900.0,2024
Calgary,AB,749900.0,2024
Rural Red Deer County,AB,899000.0,2024
Peachland,BC,1049000.0,2024
Golden,BC,2600000.0,2024
Vernon,BC,569000.0,2024
Kelowna,BC,215000.0,2024
Kelowna,BC,369000.0,2024
Cochrane,AB,519900.0,2024
Cochrane,AB,504900.0,2024
Maple Ridge,BC,2280000.0,2024
Kelowna,BC,929999.0,2024
Fairmont Hot Springs,BC,159000.0,2024
Fernie,BC,2250000.0,2024
Radium Hot Springs,BC,324900.0,2024
Kelowna,BC,824900.0,2024
Castlegar,BC,579000.0,2024
Kelowna,BC,785000.0,2024
Summerland,BC,1099000.0,2024
Red Deer,AB,299900.0,2024
Saskatoon,SK,159900.0,2024
Calgary,AB,499900.0,2024
Port Moody,BC,1450000.0,2024
Naramata,BC,1750000.0,2024
Richmond,BC,619000.0,2024
Rural Strathcona County,AB,975000.0,2024
Vancouver,BC,1899000.0,2024
Vancouver,BC,1095000.0,2024
Coaldale,AB,350000.0,2024
Vancouver,BC,3688000.0,2024
Kamloops,BC,589900.0,2024
Naramata,BC,1200000.0,2024
Penticton,BC,539000.0,2024
Armstrong,BC,159900.0,2024
Vernon,BC,949700.0,2024
Surrey,BC,989999.0,2024
Prince George,BC,369900.0,2024
Calgary,AB,250000.0,2024
North Vancouver,BC,1929000.0,2024
Campbell River,BC,495000.0,2024
Saskatoon,SK,379999.0,2024
Saskatoon,SK,439900.0,2024
Calgary,AB,674900.0,2024
