,region_name,year,avg_income,province
1030,"Sarnia (CA), Ont.",2020,83000,
1031,"Sarnia (CA), Ont.",2015,76500,
1034,"Sault Ste. Marie (CA), Ont.",2020,74000,
1035,"Sault Ste. Marie (CA), Ont.",2015,67000,
1038,"Sault Ste. Marie (CA), Ont.",2020,74000,
1039,"Sault Ste. Marie (CA), Ont.",2015,67000,
1042,"Sault Ste. Marie (CA), Ont.",2020,74000,
1043,"Sault Ste. Marie (CA), Ont.",2015,67000,
1046,"St. Catharines - Niagara (CMA), Ont.",2020,77000,
1047,"St. Catharines - Niagara (CMA), Ont.",2015,68000,
1050,"St. Catharines - Niagara (CMA), Ont.",2020,77000,
1051,"St. Catharines - Niagara (CMA), Ont.",2015,68000,
1054,"St. Catharines - Niagara (CMA), Ont.",2020,77000,
1055,"St. Catharines - Niagara (CMA), Ont.",2015,68000,
1058,"Stratford (CA), Ont.",2020,77000,
1059,"Stratford (CA), Ont.",2015,70000,
1062,"Stratford (CA), Ont.",2020,77000,
1063,"Stratford (CA), Ont.",2015,70000,
1066,"Stratford (CA), Ont.",2020,77000,
1067,"Stratford (CA), Ont.",2015,70000,
1070,"Thunder Bay (CMA), Ont.",2020,80000,
1071,"Thunder Bay (CMA), Ont.",2015,74000,
1074,"Thunder Bay (CMA), Ont.",2020,80000,
1075,"Thunder Bay (CMA), Ont.",2015,74000,
1078,"Thunder Bay (CMA), Ont.",2020,80000,
1079,"Thunder Bay (CMA), Ont.",2015,74000,
1082,"Tillsonburg (CA), Ont.",2020,73500,
1083,"Tillsonburg (CA), Ont.",2015,63200,
1086,"Tillsonburg (CA), Ont.",2020,73500,
1087,"Tillsonburg (CA), Ont.",2015,63200,
1090,"Tillsonburg (CA), Ont.",2020,73500,
1091,"Tillsonburg (CA), Ont.",2015,63200,
1094,"Timmins (CA), Ont.",2020,82000,
1095,"Timmins (CA), Ont.",2015,79500,
1098,"Timmins (CA), Ont.",2020,82000,
1099,"Timmins (CA), Ont.",2015,79500,
1102,"Timmins (CA), Ont.",2020,82000,
1103,"Timmins (CA), Ont.",2015,79500,
1106,"Toronto (CMA), Ont.",2020,97000,
1107,"Toronto (CMA), Ont.",2015,85000,
1110,"Toronto (CMA), Ont.",2020,97000,
1111,"Toronto (CMA), Ont.",2015,85000,
1114,"Toronto (CMA), Ont.",2020,97000,
1115,"Toronto (CMA), Ont.",2015,85000,
1118,"Wasaga Beach (CA), Ont.",2020,76000,
1119,"Wasaga Beach (CA), Ont.",2015,67000,
